Source IP,Destination IP,Destination Port
10.0.246.113,10.5.76.135,389
10.0.246.119,10.5.76.194,389
10.0.246.131,10.5.76.230,389
10.0.246.134,10.5.76.230,389
10.0.246.135,10.5.76.230,389
10.0.246.138,10.5.76.194,389
10.0.246.141,10.5.76.135,389
10.0.246.142,10.5.76.230,389
10.0.246.149,10.5.76.230,389
10.0.246.152,10.5.76.230,389
10.0.246.16,10.5.76.194,389
10.0.246.169,10.5.76.194,389
10.0.246.174,10.5.76.134,389
10.0.246.187,10.5.76.194,389
10.0.246.19,10.5.76.134,389
10.0.246.197,10.5.76.230,389
10.0.246.23,10.5.76.135,389
10.0.246.240,10.5.76.209,389
10.0.246.27,10.5.76.135,389
10.0.246.28,10.5.76.230,389
10.0.246.3,10.5.76.209,389
10.0.246.33,10.5.76.209,389
10.0.246.36,10.5.76.230,389
10.0.246.37,10.5.76.194,389
10.0.246.49,10.5.76.230,389
10.0.246.65,10.5.76.135,389
10.0.246.77,10.5.76.230,389
10.0.246.95,10.5.76.194,389
10.0.247.106,10.5.76.230,389
10.0.247.140,10.5.76.194,389
10.0.247.144,10.5.76.135,389
10.0.247.150,10.5.76.230,389
10.0.247.173,10.5.76.230,389
10.0.247.175,10.5.76.230,389
10.0.247.177,10.5.76.230,389
10.0.247.186,10.5.76.230,389
10.0.247.190,10.5.76.230,389
10.0.247.197,10.5.76.230,389
10.0.247.199,10.5.76.135,389
10.0.247.204,10.5.76.194,389
10.0.247.206,10.5.76.123,389
10.0.247.229,10.5.76.135,389
10.0.247.230,10.5.76.230,389
10.0.247.233,10.5.76.135,389
10.0.247.253,10.5.76.230,389
10.0.247.254,10.5.76.230,389
10.0.247.26,10.5.76.209,389
10.0.247.3,10.5.76.134,389
10.0.247.34,10.5.76.230,389
10.0.247.39,10.5.76.230,389
10.0.247.62,10.5.76.134,389
10.0.247.65,10.5.76.230,389
10.0.247.71,10.5.76.230,389
10.0.247.80,10.5.76.209,389
10.0.247.81,10.5.76.134,389
10.0.247.89,10.5.76.209,389
10.0.248.11,10.5.76.230,389
10.0.248.112,10.5.76.230,389
10.0.248.114,10.5.76.209,389
10.0.248.115,10.5.76.135,389
10.0.248.119,10.5.76.214,389
10.0.248.123,10.5.76.230,389
10.0.248.133,10.5.76.134,389
10.0.248.134,10.5.76.134,389
10.0.248.136,10.5.76.135,389
10.0.248.149,10.5.76.230,389
10.0.248.162,10.5.76.194,389
10.0.248.170,10.5.76.194,389
10.0.248.172,10.5.76.230,389
10.0.248.179,10.5.76.123,389
10.0.248.180,10.5.76.134,389
10.0.248.194,10.5.76.134,389
10.0.248.195,10.5.76.135,389
10.0.248.196,10.5.76.135,389
10.0.248.204,10.5.76.134,389
10.0.248.207,10.5.76.134,389
10.0.248.210,10.5.76.230,389
10.0.248.211,10.5.76.134,389
10.0.248.214,10.5.76.230,389
10.0.248.215,10.5.76.209,389
10.0.248.224,10.5.76.194,389
10.0.248.48,10.5.76.194,389
10.0.248.5,10.5.76.135,389
10.0.248.70,10.5.76.135,389
10.0.248.74,10.5.76.134,389
10.0.248.87,10.5.76.123,389
10.0.248.9,10.5.76.134,389
10.0.248.91,10.5.76.209,389
10.0.249.10,10.5.76.230,389
10.0.249.113,10.5.76.230,389
10.0.249.118,10.5.76.230,389
10.0.249.122,10.5.76.214,389
10.0.249.128,10.5.76.230,389
10.0.249.140,10.5.76.230,389
10.0.249.144,10.5.76.134,389
10.0.249.146,10.5.76.209,389
10.0.249.148,10.5.76.230,389
10.0.249.162,10.5.76.134,389
10.0.249.17,10.5.76.134,389
10.0.249.186,10.5.76.135,389
10.0.249.198,10.5.76.230,389
10.0.249.20,10.5.76.230,389
10.0.249.203,10.5.76.194,389
10.0.249.209,10.5.76.134,389
10.0.249.227,10.5.76.135,389
10.0.249.33,10.5.76.230,389
10.0.249.34,10.5.76.135,389
10.0.249.48,10.5.76.194,389
10.0.249.5,10.5.76.230,389
10.0.249.51,10.5.76.230,389
10.0.249.59,10.5.76.230,389
10.0.249.69,10.5.76.230,389
10.0.249.8,10.5.76.209,389
10.0.250.108,10.5.76.209,389
10.0.250.109,10.5.76.135,389
10.0.250.11,10.5.76.230,389
10.0.250.121,10.5.76.230,389
10.0.250.123,10.5.76.230,389
10.0.250.13,10.5.76.135,389
10.0.250.134,10.5.76.230,389
10.0.250.140,10.5.76.134,389
10.0.250.161,10.5.76.209,389
10.0.250.162,10.5.76.134,389
10.0.250.175,10.5.76.194,389
10.0.250.20,10.5.76.135,389
10.0.250.212,10.5.76.230,389
10.0.250.217,10.5.76.209,389
10.0.250.225,10.5.76.230,389
10.0.250.230,10.5.76.209,389
10.0.250.234,10.5.76.134,389
10.0.250.237,10.5.76.135,389
10.0.250.250,10.5.76.230,389
10.0.250.53,10.5.76.209,389
10.0.250.6,10.5.76.230,389
10.0.250.63,10.5.76.230,389
10.0.250.71,10.5.76.135,389
10.0.250.74,10.5.76.209,389
10.0.250.77,10.5.76.230,389
10.0.250.84,10.5.76.230,389
10.0.250.99,10.5.76.135,389
10.0.251.114,10.5.76.123,389
10.0.251.12,10.5.76.230,389
10.0.251.13,10.5.76.134,389
10.0.251.147,10.5.76.209,389
10.0.251.153,10.5.76.209,389
10.0.251.159,10.5.76.230,389
10.0.251.166,10.5.76.209,389
10.0.251.169,10.5.76.135,389
10.0.251.180,10.5.76.214,389
10.0.251.182,10.5.76.134,389
10.0.251.194,10.5.76.134,389
